GeneId	Control_transcript	Case_transcript
ELP2	ENST00000544267.5	ENST00000541748.5
ELP2	ENST00000542824.5	ENST00000541748.5
ELP2	ENST00000541190.5	ENST00000541748.5
ELP2	ENST00000543127.5	ENST00000541748.5
ELP2	ENST00000539560.5	ENST00000541748.5
ELP2	ENST00000358232.10	ENST00000541748.5
ELP2	ENST00000540766.5	ENST00000541748.5
ELP2	ENST00000540799.1	ENST00000541748.5
ELP2	ENST00000351393.10	ENST00000541748.5
ELP2	ENST00000350494.10	ENST00000541748.5
ELP2	ENST00000543439.5	ENST00000541748.5
ELP2	ENST00000442325.6	ENST00000535093.1
ELP2	ENST00000442325.6	ENST00000541748.5
ELP2	ENST00000442325.6	ENST00000542430.5
ELP2	ENST00000442325.6	ENST00000545302.5
ELP2	ENST00000442325.6	ENST00000541294.1
ELP2	ENST00000442325.6	ENST00000536830.1
ELP2	ENST00000442325.6	ENST00000423854.6
ELP2	ENST00000442325.6	ENST00000540323.5
ELP2	ENST00000442325.6	ENST00000543861.5
ELP2	ENST00000442325.6	ENST00000542050.5
ELP2	ENST00000442325.6	ENST00000535488.5
ELP2	ENST00000442325.6	ENST00000540135.5
ELP2	ENST00000442325.6	ENST00000536373.5
ELP2	ENST00000442325.6	ENST00000544274.1
PROSER1	ENST00000352251.7	ENST00000625998.2
PROSER1	ENST00000352251.7	ENST00000492646.1
PROSER1	ENST00000352251.7	ENST00000602899.1
PROSER1	ENST00000352251.7	ENST00000468017.1
PROSER1	ENST00000352251.7	ENST00000484434.3
PROSER1	ENST00000352251.7	ENST00000436678.1
PROSER1	ENST00000352251.7	ENST00000496138.2
PROSER1	ENST00000352251.7	ENST00000602534.1
PROSER1	ENST00000352251.7	ENST00000602512.1
PROSER1	ENST00000352251.7	ENST00000418503.1
ASPSCR1	ENST00000306739.8	ENST00000583693.5
ASPSCR1	ENST00000306739.8	ENST00000578236.5
ASPSCR1	ENST00000306739.8	ENST00000582404.5
ASPSCR1	ENST00000306739.8	ENST00000582355.6
ASPSCR1	ENST00000306739.8	ENST00000583142.5
ASPSCR1	ENST00000306739.8	ENST00000583503.5
ASPSCR1	ENST00000306739.8	ENST00000344865.10
ASPSCR1	ENST00000306739.8	ENST00000577733.5
ASPSCR1	ENST00000306739.8	ENST00000583744.1
ASPSCR1	ENST00000306739.8	ENST00000582019.5
ASPSCR1	ENST00000306739.8	ENST00000581647.5
ASPSCR1	ENST00000306739.8	ENST00000581484.5
ASPSCR1	ENST00000306739.8	ENST00000306729.11
ASPSCR1	ENST00000306739.8	ENST00000578361.5
ASPSCR1	ENST00000306739.8	ENST00000584454.5
ASPSCR1	ENST00000306739.8	ENST00000585274.1
ASPSCR1	ENST00000306739.8	ENST00000581608.5
DCTN4	ENST00000521448.5	ENST00000424236.5
DCTN4	ENST00000517421.1	ENST00000424236.5
DCTN4	ENST00000521533.1	ENST00000424236.5
DCTN4	ENST00000447998.6	ENST00000627368.2
DCTN4	ENST00000447998.6	ENST00000518015.5
DCTN4	ENST00000447998.6	ENST00000518909.1
