gene_id	control_transcipt	case_transcript
S100A11	ENST00000271638.2	ENST00000478109.1
RPS24	ENST00000360830.8	ENST00000476545.5
RPS24	ENST00000360830.8	ENST00000475468.5
RPS24	ENST00000360830.8	ENST00000613865.4
RPS24	ENST00000360830.8	ENST00000482069.5
RPS24	ENST00000360830.8	ENST00000480662.1
RPS24	ENST00000435275.5	ENST00000613865.4
RPS24	ENST00000464716.5	ENST00000476545.5
RPS24	ENST00000464716.5	ENST00000475468.5
RPS24	ENST00000464716.5	ENST00000613865.4
RPS24	ENST00000464716.5	ENST00000482069.5
RPS24	ENST00000464716.5	ENST00000480662.1
RPS24	ENST00000465692.1	ENST00000613865.4
RPS24	ENST00000466129.5	ENST00000613865.4
RPS24	ENST00000372360.7	ENST00000613865.4
RPS24	ENST00000440692.5	ENST00000613865.4
RPS24	ENST00000485708.6	ENST00000613865.4
RPS24	ENST00000478655.5	ENST00000613865.4
ATF4	ENST00000337304.2	ENST00000396680.2
ATF4	ENST00000404241.6	ENST00000396680.2
PPDPF	ENST00000370179.7	ENST00000464438.1
PPDPF	ENST00000370177.1	ENST00000464438.1
PPDPF	ENST00000473620.1	ENST00000464438.1
S100A10	ENST00000478348.1	ENST00000368811.7
S100A10	ENST00000478348.1	ENST00000368809.1
S100A10	ENST00000478348.1	ENST00000478574.5
CCDC50	ENST00000392455.7	ENST00000392456.3
CCDC50	ENST00000460064.1	ENST00000392456.3
UQCRQ	ENST00000498309.1	ENST00000480372.1
UQCRQ	ENST00000498309.1	ENST00000378665.1
UQCRQ	ENST00000378667.1	ENST00000480372.1
UQCRQ	ENST00000378667.1	ENST00000378665.1
UQCRQ	ENST00000496429.1	ENST00000480372.1
UQCRQ	ENST00000496429.1	ENST00000378665.1
UQCRQ	ENST00000378670.7	ENST00000480372.1
UQCRQ	ENST00000378670.7	ENST00000378665.1
SRP9	ENST00000304786.11	ENST00000626563.2
SRP9	ENST00000366838.1	ENST00000626563.2
SRP9	ENST00000366839.8	ENST00000626563.2
SRP9	ENST00000619790.4	ENST00000626563.2
MRPS14	ENST00000476371.1	ENST00000367677.3
MRPS14	ENST00000476371.1	ENST00000498253.1
MORC4	ENST00000355610.8	ENST00000478924.1
MORC4	ENST00000255495.7	ENST00000478924.1
