	gene_id	case_transcript	control_transcript
0	MME	ENST00000460393.5	ENST00000615825.1
13	SPRY2	ENST00000377102.5	ENST00000377104.3
14	SPRY2	ENST00000540649.2	ENST00000377104.3
15	CD300LG	ENST00000588884.1	ENST00000317310.4
20	PPP1R14A	ENST00000591585.1	ENST00000591291.5
29	FBLN2	ENST00000295760.11	ENST00000404922.7
31	SCARA5	ENST00000380385.6	ENST00000354914.7
35	FXYD1	ENST00000588715.5	ENST00000351325.8
51	JAM2	ENST00000400532.5	ENST00000480456.5
53	HLF	ENST00000575345.5	ENST00000226067.9
88	NTRK2	ENST00000395882.5	ENST00000359847.3
89	NTRK2	ENST00000277120.7	ENST00000359847.3
94	PAMR1	ENST00000611014.4	ENST00000622144.4
101	BTNL9	ENST00000376841.6	ENST00000327705.13
103	S100B	ENST00000367071.4	ENST00000291700.8
105	FAM13A	ENST00000515600.1	ENST00000511976.5
119	CAV2	ENST00000343213.2	ENST00000222693.4
121	ITM2A	ENST00000434584.2	ENST00000373298.6
128	PDE2A	ENST00000418754.6	ENST00000334456.9
191	CDKN2C	ENST00000396148.1	ENST00000371761.3
192	MRAS	ENST00000474559.1	ENST00000621127.4
204	CAV1	ENST00000614113.4	ENST00000393470.1
210	CDKN1C	ENST00000440480.6	ENST00000380725.1
214	CNTNAP3B	ENST00000341990.8	ENST00000612828.4
221	TTC28	ENST00000397906.6	ENST00000612946.4
222	FAXDC2	ENST00000520968.5	ENST00000326080.9
225	PGM5	ENST00000396392.5	ENST00000396396.5
226	CORO2B	ENST00000566799.5	ENST00000540068.5
227	CORO2B	ENST00000543950.2	ENST00000540068.5
231	EGFLAM	ENST00000322350.9	ENST00000397210.7
249	TSHZ2	ENST00000603338.2	ENST00000329613.7
255	TNS1	ENST00000446688.5	ENST00000171887.8
261	CHL1	ENST00000256509.6	ENST00000620033.4
262	CHL1	ENST00000397491.6	ENST00000620033.4
263	GNAL	ENST00000602628.1	ENST00000334049.10
275	TMTC1	ENST00000551659.5	ENST00000256062.9
280	CXorf36	ENST00000377934.4	ENST00000398000.6
281	C2orf40	ENST00000409944.5	ENST00000238044.7
282	RNF150	ENST00000420921.6	ENST00000515673.6
285	AQP1	ENST00000441328.6	ENST00000311813.8
294	C2orf88	ENST00000396974.2	ENST00000340623.4
299	RBMS3	ENST00000452462.5	ENST00000434693.6
339	LEPR	ENST00000349533.10	ENST00000616738.4
353	TSPAN7	ENST00000286824.6	ENST00000378482.6
354	TSLP	ENST00000420978.6	ENST00000379706.4
387	FAM49A	ENST00000406434.5	ENST00000381323.7
388	VIT	ENST00000401530.5	ENST00000404084.5
397	CCDC178	ENST00000579916.5	ENST00000581852.5
408	EGFR	ENST00000442591.5	ENST00000275493.6
414	NTPCR	ENST00000366627.4	ENST00000366628.9
415	CTC-297N7.9	ENST00000579529.2	ENST00000579367.1
416	ABCA8	ENST00000615593.4	ENST00000586539.5
